logit,token,token_id,top_rank,variant
20.59375,I,235285,1,top3183_plus_rank3202_extra_boundary_only
20.59375,It,1718,2,top3183_plus_rank3202_extra_boundary_only
19.359375,Creating,35998,3,top3183_plus_rank3202_extra_boundary_only
18.359375,While,10811,4,top3183_plus_rank3202_extra_boundary_only
18.15625,Making,31119,5,top3183_plus_rank3202_extra_boundary_only
17.296875,Let,5331,6,top3183_plus_rank3202_extra_boundary_only
17.0,The,651,7,top3183_plus_rank3202_extra_boundary_only
16.484375,You,2045,8,top3183_plus_rank3202_extra_boundary_only
20.609375,I,235285,1,top3184_plus_rank3202_extra_boundary_only
20.59375,It,1718,2,top3184_plus_rank3202_extra_boundary_only
19.375,Creating,35998,3,top3184_plus_rank3202_extra_boundary_only
18.375,While,10811,4,top3184_plus_rank3202_extra_boundary_only
18.171875,Making,31119,5,top3184_plus_rank3202_extra_boundary_only
17.296875,Let,5331,6,top3184_plus_rank3202_extra_boundary_only
17.0,The,651,7,top3184_plus_rank3202_extra_boundary_only
16.484375,You,2045,8,top3184_plus_rank3202_extra_boundary_only
