condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
donor_alpha,1.546875,0.0,0.18147786458333334,-3.52587890625,-7.125,24,benign,0.08333333333333333,0.2916666666666667
donor_alpha,9.109375,0.0,1.7591145833333333,5.868489583333333,-3.671875,24,harmful,0.9583333333333334,0.041666666666666664
recipient_alpha,0.671875,,0.0,-3.7073567708333335,-6.9296875,24,benign,0.041666666666666664,0.2916666666666667
recipient_alpha,7.90625,,0.0,4.109375,-4.3359375,24,harmful,0.9166666666666666,0.041666666666666664
sae_full_decode_assistant_boundary,1.5,0.17236328125,0.3538411458333333,-3.353515625,-6.9375,24,benign,0.08333333333333333,0.25
sae_full_decode_assistant_boundary,7.046875,-1.9524739583333333,-0.193359375,3.916015625,-3.515625,24,harmful,0.9583333333333334,0.0
sae_full_decode_generated,0.671875,-0.18147786458333334,0.0,-3.7073567708333335,-6.9296875,24,benign,0.041666666666666664,0.2916666666666667
sae_full_decode_generated,7.90625,-1.7591145833333333,0.0,4.109375,-4.3359375,24,harmful,0.9166666666666666,0.041666666666666664
sae_full_decode_last_token,1.296875,0.17985026041666666,0.361328125,-3.3460286458333335,-6.71875,24,benign,0.08333333333333333,0.25
sae_full_decode_last_token,7.21875,-1.9798177083333333,-0.220703125,3.888671875,-3.9140625,24,harmful,0.9166666666666666,0.041666666666666664
