condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
donor_alpha,-4.10546875,0.0,-0.13671875,-4.10546875,-4.10546875,1,benign,0.0,0.0
donor_alpha,1.75,0.0,2.359375,1.75,1.75,1,harmful,1.0,0.0
recipient_alpha,-3.96875,,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
recipient_alpha,-0.609375,,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
sae_full_decode_assistant_boundary,-3.703125,0.40234375,0.265625,-3.703125,-3.703125,1,benign,0.0,0.0
sae_full_decode_assistant_boundary,0.515625,-1.234375,1.125,0.515625,0.515625,1,harmful,1.0,0.0
sae_full_decode_assistant_boundary_end_of_turn,-3.9453125,0.16015625,0.0234375,-3.9453125,-3.9453125,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_end_of_turn,-0.625,-2.375,-0.015625,-0.625,-0.625,1,harmful,0.0,1.0
sae_full_decode_assistant_boundary_final_newline,-3.625,0.48046875,0.34375,-3.625,-3.625,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_final_newline,-0.015625,-1.765625,0.59375,-0.015625,-0.015625,1,harmful,0.0,1.0
sae_full_decode_assistant_boundary_model_and_final_newline,-3.765625,0.33984375,0.203125,-3.765625,-3.765625,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_model_and_final_newline,0.5,-1.25,1.109375,0.5,0.5,1,harmful,1.0,0.0
sae_full_decode_assistant_boundary_model_token,-4.1171875,-0.01171875,-0.1484375,-4.1171875,-4.1171875,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_model_token,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
sae_full_decode_assistant_boundary_pre_start_newline,-3.9140625,0.19140625,0.0546875,-3.9140625,-3.9140625,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_pre_start_newline,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
sae_full_decode_assistant_boundary_start_and_model,-4.109375,-0.00390625,-0.140625,-4.109375,-4.109375,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_start_and_model,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
sae_full_decode_assistant_boundary_start_marker,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_start_marker,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
sae_full_decode_assistant_boundary_without_final_newline,-4.046875,0.05859375,-0.078125,-4.046875,-4.046875,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_without_final_newline,0.03125,-1.71875,0.640625,0.03125,0.03125,1,harmful,1.0,0.0
