condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
donor_alpha,-4.10546875,0.0,-0.13671875,-4.10546875,-4.10546875,1,benign,0.0,0.0
donor_alpha,1.75,0.0,2.359375,1.75,1.75,1,harmful,1.0,0.0
recipient_alpha,-3.96875,,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
recipient_alpha,-0.609375,,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
sae_full_decode_all,-3.671875,0.43359375,0.296875,-3.671875,-3.671875,1,benign,0.0,0.0
sae_full_decode_all,0.484375,-1.265625,1.09375,0.484375,0.484375,1,harmful,1.0,0.0
sae_full_decode_assistant_boundary,-3.703125,0.40234375,0.265625,-3.703125,-3.703125,1,benign,0.0,0.0
sae_full_decode_assistant_boundary,0.515625,-1.234375,1.125,0.515625,0.515625,1,harmful,1.0,0.0
sae_full_decode_assistant_boundary_or_generated,-3.703125,0.40234375,0.265625,-3.703125,-3.703125,1,benign,0.0,0.0
sae_full_decode_assistant_boundary_or_generated,0.515625,-1.234375,1.125,0.515625,0.515625,1,harmful,1.0,0.0
sae_full_decode_contentish_or_generated,-3.9453125,0.16015625,0.0234375,-3.9453125,-3.9453125,1,benign,0.0,0.0
sae_full_decode_contentish_or_generated,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
sae_full_decode_generated,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
sae_full_decode_generated,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
sae_full_decode_last_token,-3.625,0.48046875,0.34375,-3.625,-3.625,1,benign,0.0,0.0
sae_full_decode_last_token,-0.015625,-1.765625,0.59375,-0.015625,-0.015625,1,harmful,0.0,1.0
sae_full_decode_prompt_template_or_generated,-3.7109375,0.39453125,0.2578125,-3.7109375,-3.7109375,1,benign,0.0,0.0
sae_full_decode_prompt_template_or_generated,0.484375,-1.265625,1.09375,0.484375,0.484375,1,harmful,1.0,0.0
