condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
donor_alpha,-4.10546875,0.0,-0.13671875,-4.10546875,-4.10546875,1,benign,0.0,0.0
donor_alpha,1.75,0.0,2.359375,1.75,1.75,1,harmful,1.0,0.0
recipient_alpha,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
recipient_alpha,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
top3183_rank4000_abog_rank3201_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3201_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3202_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3202_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3203_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3203_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3204_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3204_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3205_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3205_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3206_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3206_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3207_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3207_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3208_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3208_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3209_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3209_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3210_boundary_partner_sweep,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3210_boundary_partner_sweep,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
