rank,layer,feature_id,abs_delta_sum,signed_delta_sum,donor_mean,recipient_mean,donor_active_fraction,recipient_active_fraction,token_count
1,20,14991,152.31883239746094,152.31883239746094,40.211629231770836,27.518389383951824,1.0,0.9166666666666666,12
2,20,1170,77.72239685058594,77.72239685058594,19.26988983154297,12.793023427327475,1.0,0.8333333333333334,12
3,20,12963,50.884864807128906,-20.155967712402344,10.719154357910156,12.398818969726562,1.0,0.9166666666666666,12
4,20,2076,46.28910827636719,46.28910827636719,7.720354080200195,3.8629287083943686,0.9166666666666666,0.5833333333333334,12
5,20,14889,41.94763946533203,-38.66651916503906,5.1874799728393555,8.409688949584961,0.8333333333333334,1.0,12
6,20,8649,38.901695251464844,38.901695251464844,10.802234649658203,7.560426712036133,0.9166666666666666,0.8333333333333334,12
7,20,7259,38.34168243408203,-38.34168243408203,1.395474116007487,4.590614318847656,0.3333333333333333,0.6666666666666666,12
8,20,8468,37.644874572753906,37.644874572753906,13.011082967122396,9.87401008605957,1.0,1.0,12
9,20,13854,37.52606201171875,-37.52606201171875,3.911675771077474,7.038848241170247,0.75,0.8333333333333334,12
10,20,15290,34.151031494140625,-8.980646133422852,8.911911010742188,9.660297393798828,0.8333333333333334,0.8333333333333334,12
11,20,2499,30.799251556396484,30.799251556396484,3.526994069417318,0.9603899319966634,0.5833333333333334,0.25,12
12,20,6192,30.725086212158203,-30.725086212158203,2.148312250773112,4.7087357838948565,0.4166666666666667,0.8333333333333334,12
13,20,9570,30.69099998474121,29.9224796295166,9.773978551228842,7.280437469482422,1.0,0.9166666666666666,12
14,20,8489,29.461864471435547,29.461864471435547,6.095753351847331,3.640597661336263,0.8333333333333334,0.6666666666666666,12
15,20,15169,29.18311882019043,14.088472366333008,27.8917236328125,26.717684427897137,1.0,1.0,12
16,20,4932,28.76251220703125,27.48188018798828,5.523464202880859,3.233307202657064,0.8333333333333334,0.5833333333333334,12
17,20,14240,28.641576766967773,28.641576766967773,4.238511085510254,1.8517128626505535,0.8333333333333334,0.5,12
18,20,8012,27.921602249145508,27.921602249145508,4.358492215474446,2.0316920280456543,0.75,0.4166666666666667,12
19,20,1813,25.33727264404297,25.33727264404297,11.795027414957682,9.683588027954102,1.0,0.9166666666666666,12
20,20,11411,25.090002059936523,25.090002059936523,2.3644970258076987,0.27366356054941815,0.6666666666666666,0.08333333333333333,12
21,20,9952,24.941110610961914,15.311798095703125,7.829524993896484,6.55354118347168,1.0,0.8333333333333334,12
22,20,10510,24.079219818115234,24.079219818115234,3.1541713078816733,1.1475694974263508,0.75,0.25,12
23,20,321,24.027812957763672,-24.027812957763672,3.314295450846354,5.31661319732666,0.6666666666666666,0.9166666666666666,12
24,20,6169,23.894746780395508,-7.417530059814453,6.088224411010742,6.706351598103841,0.9166666666666666,0.9166666666666666,12
25,20,3850,23.24031639099121,23.24031639099121,7.704485575358073,5.767793655395508,1.0,0.75,12
26,20,11264,22.848440170288086,22.848440170288086,4.954527537027995,3.0504910151163735,0.8333333333333334,0.5833333333333334,12
27,20,5405,22.828401565551758,-22.828401565551758,0.5948138236999512,2.497180620829264,0.16666666666666666,0.4166666666666667,12
28,20,13545,22.74443817138672,-15.075767517089844,0.6095112959543864,1.8658253351847331,0.16666666666666666,0.5,12
29,20,2664,22.54964828491211,22.54964828491211,5.223588943481445,3.3444512685139975,1.0,0.9166666666666666,12
30,20,4655,22.51180648803711,22.51180648803711,3.0487635930379233,1.1727797985076904,0.6666666666666666,0.3333333333333333,12
31,20,1115,22.297391891479492,5.164299964904785,12.112932840983072,11.682573954264322,1.0,1.0,12
32,20,3590,21.74667739868164,-21.74667739868164,1.3506447474161785,3.162867863972982,0.3333333333333333,0.5833333333333334,12
33,20,1238,21.288532257080078,10.044865608215332,2.409442106882731,1.572369893391927,0.5833333333333334,0.4166666666666667,12
34,20,7065,21.238372802734375,21.238372802734375,2.5996039708455405,0.8297394116719564,0.75,0.25,12
35,20,6968,20.837955474853516,20.837955474853516,5.115182240804036,3.378685633341471,1.0,0.6666666666666666,12
36,20,16303,20.69335174560547,20.69335174560547,2.209287166595459,0.484841267267863,0.5833333333333334,0.16666666666666666,12
37,20,15773,20.622905731201172,-20.622905731201172,0.8176878293355306,2.5362631479899087,0.16666666666666666,0.5,12
38,20,16160,19.894580841064453,19.894580841064453,2.2105894088745117,0.5527076721191406,0.5833333333333334,0.16666666666666666,12
39,20,10952,19.671531677246094,-19.671531677246094,1.1104665597279866,2.749760945638021,0.16666666666666666,0.25,12
40,20,11768,19.215259552001953,19.215259552001953,7.49416987101237,5.892897288004558,1.0,1.0,12
41,20,8680,19.04852867126465,-11.198001861572266,6.523348490397136,7.456515630086263,0.9166666666666666,0.9166666666666666,12
42,20,10529,18.674551010131836,12.465890884399414,2.539032459259033,1.500208059946696,0.6666666666666666,0.4166666666666667,12
43,20,15247,18.590505599975586,-18.590505599975586,2.3457161585489907,3.894924799601237,0.6666666666666666,0.9166666666666666,12
44,20,12549,18.446971893310547,18.446971893310547,3.061964670817057,1.524716854095459,0.6666666666666666,0.3333333333333333,12
45,20,4288,18.427303314208984,7.45215368270874,2.450385252634684,1.8293725649515789,0.5833333333333334,0.5,12
46,20,15731,18.201215744018555,18.201215744018555,3.0841344197591147,1.567366600036621,0.6666666666666666,0.3333333333333333,12
47,20,5999,18.157527923583984,-17.788578033447266,1.116544246673584,2.598926067352295,0.3333333333333333,0.5833333333333334,12
48,20,10640,18.037471771240234,16.828699111938477,5.2794189453125,3.8770268758138022,0.9166666666666666,0.75,12
49,20,4188,17.93172264099121,17.93172264099121,3.1321655909220376,1.6378553708394368,0.8333333333333334,0.5,12
50,20,473,17.507062911987305,17.507062911987305,1.6938320795694988,0.23491013050079346,0.5,0.08333333333333333,12
51,20,12854,17.307415008544922,17.307415008544922,3.153907140096029,1.7116225560506184,0.75,0.5,12
52,20,1134,16.682268142700195,16.331193923950195,2.0828146934509277,0.7218818664550781,0.5833333333333334,0.16666666666666666,12
53,20,1659,16.40188980102539,10.633861541748047,1.1264896392822266,0.24033451080322266,0.3333333333333333,0.08333333333333333,12
54,20,5011,16.284282684326172,-16.284282684326172,0.6323827505111694,1.9894062678019206,0.16666666666666666,0.4166666666666667,12
55,20,13156,16.248844146728516,16.02052879333496,3.156284968058268,1.821240743001302,0.75,0.5,12
56,20,2164,16.02779197692871,5.13414192199707,2.4593936602274575,2.031548500061035,0.6666666666666666,0.5,12
57,20,6860,15.96610164642334,15.96610164642334,4.777414004007976,3.4469054539998374,0.75,0.6666666666666666,12
58,20,15888,15.927751541137695,15.927751541137695,2.436188538869222,1.1088756720225017,0.5833333333333334,0.25,12
59,20,9513,15.92077922821045,15.893465995788574,2.3831124305725098,1.058656930923462,0.5833333333333334,0.25,12
60,20,7531,15.85139274597168,4.576145648956299,4.130271275838216,3.7489261627197266,0.8333333333333334,0.75,12
61,20,12022,15.8143310546875,14.184940338134766,7.232113520304362,6.050036112467448,0.9166666666666666,0.9166666666666666,12
62,20,8542,15.764728546142578,-15.764728546142578,0.5278577009836832,1.8415851593017578,0.08333333333333333,0.25,12
63,20,8809,15.697083473205566,15.697083473205566,2.567710558573405,1.2596203486124675,0.6666666666666666,0.4166666666666667,12
64,20,11572,15.638049125671387,-15.638049125671387,0.8879427909851074,2.1911134719848633,0.25,0.5,12
65,20,11593,15.548442840576172,-15.548442840576172,1.0127216974894206,2.308425267537435,0.25,0.5,12
66,20,2489,15.50634765625,-8.617290496826172,0.28704408804575604,1.005151589711507,0.08333333333333333,0.3333333333333333,12
67,20,11447,15.457261085510254,-15.457261085510254,1.295771837234497,2.583876927693685,0.3333333333333333,0.5833333333333334,12
68,20,1157,15.406988143920898,12.915677070617676,6.901299158732097,5.824992497762044,1.0,0.9166666666666666,12
69,20,7500,15.269585609436035,7.357987403869629,2.4571746190389,1.8440090815226238,0.6666666666666666,0.5,12
70,20,6574,14.94760799407959,-13.663464546203613,1.2051830291748047,2.3438049952189126,0.3333333333333333,0.6666666666666666,12
71,20,11924,14.827924728393555,14.815252304077148,2.401597023010254,1.1669926643371582,0.6666666666666666,0.3333333333333333,12
72,20,10341,14.741706848144531,-14.741706848144531,1.3991228739420574,2.627598285675049,0.3333333333333333,0.5,12
73,20,844,14.65449333190918,-14.103899002075195,1.3765201568603516,2.551845073699951,0.4166666666666667,0.6666666666666666,12
74,20,3447,14.566162109375,-12.319047927856445,3.7959117889404297,4.822498639424642,0.6666666666666666,0.75,12
75,20,7139,14.546459197998047,-3.6824002265930176,2.1405245463053384,2.4473911921183267,0.5,0.5833333333333334,12
76,20,8482,14.4656982421875,-6.931245803833008,1.5207834243774414,2.098387082417806,0.4166666666666667,0.5,12
77,20,1293,14.39402961730957,-12.467378616333008,3.322280248006185,4.361228942871094,0.6666666666666666,0.8333333333333334,12
78,20,1915,14.251447677612305,-14.251447677612305,1.3248472213745117,2.512467861175537,0.25,0.3333333333333333,12
79,20,15379,14.235262870788574,-2.752445697784424,2.4757607777913413,2.70513121287028,0.5833333333333334,0.6666666666666666,12
80,20,8243,14.092667579650879,-14.092667579650879,0.0,1.1743889649709065,0.0,0.25,12
81,20,7302,14.065220832824707,-11.40064525604248,6.649570465087891,7.5996246337890625,1.0,1.0,12
82,20,5987,13.918499946594238,5.986551284790039,5.594765345255534,5.095885594685872,1.0,0.8333333333333334,12
83,20,3897,13.88807201385498,10.641749382019043,12.757933298746744,11.87112045288086,1.0,1.0,12
84,20,11308,13.467730522155762,-7.282294273376465,0.8161232471466064,1.4229811032613118,0.25,0.4166666666666667,12
85,20,14008,13.464959144592285,13.464959144592285,1.3982618649800618,0.27618197600046795,0.4166666666666667,0.08333333333333333,12
86,20,918,13.441899299621582,3.7459959983825684,3.6461098988850913,3.3339433670043945,0.9166666666666666,0.75,12
87,20,15663,13.41877555847168,13.41877555847168,2.163726488749186,1.0454953511555989,0.5,0.25,12
88,20,915,13.370312690734863,-7.651083946228027,0.7712552547454834,1.408845583597819,0.25,0.4166666666666667,12
89,20,7509,13.33763599395752,-13.33763599395752,0.6483605702718099,1.759830156962077,0.16666666666666666,0.4166666666666667,12
90,20,5433,13.311967849731445,-7.573774814605713,1.6472721099853516,2.2784201304117837,0.4166666666666667,0.5,12
91,20,975,13.266284942626953,7.446377277374268,2.439145882924398,1.8186143239339192,0.6666666666666666,0.5833333333333334,12
92,20,5297,13.207582473754883,13.120298385620117,3.1759729385375977,2.0826145807902017,0.75,0.5833333333333334,12
93,20,11611,13.167913436889648,12.710418701171875,6.838611602783203,5.779410680135091,0.9166666666666666,0.8333333333333334,12
94,20,12656,13.110408782958984,12.359151840209961,3.610588709513346,2.5806592305501304,0.8333333333333334,0.6666666666666666,12
95,20,14671,12.937424659729004,-12.937424659729004,0.34108956654866535,1.4192082087198894,0.08333333333333333,0.3333333333333333,12
96,20,2955,12.934882164001465,0.3340020179748535,0.8587629795074463,0.8309294382731119,0.25,0.25,12
97,20,30,12.919285774230957,12.798161506652832,2.1930694580078125,1.1265560785929363,0.5833333333333334,0.3333333333333333,12
98,20,7508,12.90196418762207,-8.809896469116211,24.87268575032552,25.606842041015625,1.0,1.0,12
99,20,4123,12.649059295654297,-4.348752975463867,2.216161092122396,2.578557014465332,0.5,0.5833333333333334,12
100,20,10772,12.460747718811035,-12.42005443572998,0.9930498600006104,2.028054396311442,0.25,0.5,12
101,20,2341,12.407722473144531,6.324336528778076,1.4163516362508137,0.8893235524495443,0.4166666666666667,0.25,12
102,20,14782,12.352090835571289,5.875446319580078,1.1445527076721191,0.6549321810404459,0.3333333333333333,0.16666666666666666,12
103,20,7174,12.334842681884766,0.04428219795227051,0.8347837924957275,0.8310936292012533,0.25,0.25,12
104,20,173,12.293704986572266,10.608988761901855,6.414021174112956,5.52993901570638,0.9166666666666666,0.9166666666666666,12
105,20,13633,12.276395797729492,12.276395797729492,2.1369144121805825,1.1138814290364583,0.5833333333333334,0.3333333333333333,12
106,20,4521,12.228699684143066,2.0714502334594727,3.18785031636556,3.0152295430501304,0.75,0.75,12
107,20,15853,12.11396598815918,12.11396598815918,1.0094971656799316,0.0,0.3333333333333333,0.0,12
108,20,15977,11.789021492004395,11.659623146057129,5.278624216715495,4.306989034016927,0.9166666666666666,0.9166666666666666,12
109,20,693,11.745515823364258,3.834512710571289,1.2395490010579426,0.920006275177002,0.3333333333333333,0.25,12
110,20,3622,11.706233024597168,-3.92742657661438,5.459396998087565,5.786682764689128,1.0,0.9166666666666666,12
111,20,114,11.649866104125977,11.442939758300781,1.9408788681030273,0.9873006343841553,0.5833333333333334,0.3333333333333333,12
112,20,13358,11.644371032714844,-11.644371032714844,0.758720874786377,1.729085127512614,0.25,0.5,12
113,20,14621,11.642929077148438,-11.642929077148438,0.0,0.9702440897623698,0.0,0.3333333333333333,12
114,20,10652,11.605039596557617,-11.605039596557617,0.0,0.9670866330464681,0.0,0.16666666666666666,12
115,20,2644,11.578460693359375,5.165180683135986,2.2432586352030435,1.8128267923990886,0.5,0.5,12
116,20,15179,11.43809986114502,11.43809986114502,1.7404050827026367,0.7872300942738851,0.5,0.25,12
117,20,4262,11.304609298706055,10.273014068603516,3.084034283955892,2.227949778238932,0.75,0.5,12
118,20,11182,11.274133682250977,11.274133682250977,1.8703060150146484,0.9307950337727865,0.5,0.25,12
119,20,9843,11.21740436553955,11.21740436553955,1.592507044474284,0.6577234268188477,0.4166666666666667,0.16666666666666666,12
120,20,9398,11.174849510192871,-11.174849510192871,0.2631313006083171,1.1943687597910564,0.08333333333333333,0.3333333333333333,12
121,20,14457,11.095641136169434,-10.909850120544434,0.9747382799784342,1.8838923772176106,0.25,0.5,12
122,20,8759,10.995058059692383,-9.747974395751953,1.1206908226013184,1.933022181193034,0.3333333333333333,0.5833333333333334,12
123,20,3478,10.905732154846191,4.841486930847168,2.267099698384603,1.8636425336201985,0.5,0.4166666666666667,12
124,20,7669,10.894706726074219,7.945023059844971,2.9983739852905273,2.3362884521484375,0.6666666666666666,0.5,12
125,20,2735,10.889415740966797,4.086313247680664,1.1204624970753987,0.7799363931020101,0.3333333333333333,0.25,12
126,20,11627,10.860835075378418,-2.959777355194092,2.95771853129069,3.204366683959961,0.75,0.6666666666666666,12
127,20,10402,10.78662109375,6.644165515899658,3.2432428995768228,2.6895624796549478,0.8333333333333334,0.6666666666666666,12
128,20,5166,10.753564834594727,10.753564834594727,0.8961304028828939,0.0,0.25,0.0,12
129,20,15479,10.746633529663086,-10.746633529663086,0.9115792115529379,1.8071319262186687,0.25,0.4166666666666667,12
130,20,14951,10.693578720092773,2.1767940521240234,1.0091853141784668,0.8277858098347982,0.3333333333333333,0.25,12
131,20,16029,10.690890312194824,10.690890312194824,2.1607019106547036,1.2697943051656086,0.5,0.3333333333333333,12
132,20,12157,10.682926177978516,-10.682926177978516,0.0,0.8902438481648763,0.0,0.25,12
133,20,2714,10.680243492126465,10.680243492126465,1.3988725344340007,0.5088522434234619,0.4166666666666667,0.16666666666666666,12
134,20,13969,10.662168502807617,-10.662168502807617,0.0,0.8885140419006348,0.0,0.25,12
135,20,9541,10.585783958435059,-1.1884336471557617,0.9967226982116699,1.0957587560017903,0.25,0.3333333333333333,12
136,20,7042,10.567972183227539,-8.64950180053711,1.2784380118052165,1.9992297490437825,0.3333333333333333,0.5833333333333334,12
137,20,10624,10.529388427734375,9.929206848144531,2.2746636072794595,1.4472297032674153,0.5833333333333334,0.3333333333333333,12
138,20,1035,10.49687385559082,-10.49687385559082,0.5410813490549723,1.4158207575480144,0.16666666666666666,0.25,12
139,20,8518,10.472638130187988,9.823843955993652,1.7042504946390789,0.8855968316396078,0.5,0.25,12
140,20,8456,10.46766185760498,8.908995628356934,5.360085805257161,4.617669741312663,0.75,0.6666666666666666,12
141,20,7326,10.412254333496094,9.400392532348633,2.631581942240397,1.8482157389322917,0.6666666666666666,0.5,12
142,20,1985,10.403850555419922,-10.403850555419922,1.505069891611735,2.3720574378967285,0.08333333333333333,0.08333333333333333,12
143,20,6921,10.388299942016602,10.215559005737305,1.3356642723083496,0.48436776796976727,0.4166666666666667,0.16666666666666666,12
144,20,3650,10.338425636291504,-9.900254249572754,0.6508503754933676,1.4758715629577637,0.16666666666666666,0.4166666666666667,12
145,20,7672,10.334318161010742,10.334318161010742,0.8611931800842285,0.0,0.16666666666666666,0.0,12
146,20,10181,10.301961898803711,10.301961898803711,1.5793088277180989,0.7208120028177897,0.5,0.25,12
147,20,13034,10.288619995117188,10.288619995117188,1.3176416556040447,0.4602566560109456,0.4166666666666667,0.16666666666666666,12
148,20,3339,10.240524291992188,-3.4529099464416504,0.7942553361256918,1.0819978713989258,0.25,0.3333333333333333,12
149,20,4989,10.23636245727539,10.23636245727539,1.4851574897766113,0.6321273247400919,0.3333333333333333,0.08333333333333333,12
150,20,14308,10.213457107543945,1.8071918487548828,2.376316547393799,2.225717226664225,0.5833333333333334,0.5833333333333334,12
151,20,12905,10.194255828857422,10.194255828857422,1.5308839480082195,0.6813626289367676,0.4166666666666667,0.16666666666666666,12
152,20,13691,10.175439834594727,-10.175439834594727,1.6671164830525715,2.5150699615478516,0.3333333333333333,0.5,12
153,20,3966,10.173308372497559,-10.173308372497559,0.6986887454986572,1.546464443206787,0.16666666666666666,0.25,12
154,20,10964,10.16869831085205,-10.16869831085205,0.32369160652160645,1.171083132425944,0.08333333333333333,0.3333333333333333,12
155,20,8207,10.165875434875488,8.567782402038574,3.347527186075846,2.633545239766439,0.8333333333333334,0.6666666666666666,12
156,20,9859,10.113530158996582,10.113530158996582,1.3820605278015137,0.5392663478851318,0.4166666666666667,0.16666666666666666,12
157,20,5970,10.106983184814453,3.3972692489624023,1.360435167948405,1.0773294766743977,0.4166666666666667,0.3333333333333333,12
158,20,14076,10.105323791503906,-2.837350368499756,0.5645514329274496,0.800997257232666,0.16666666666666666,0.25,12
159,20,14695,10.050719261169434,-10.050719261169434,0.24333461125691733,1.0808945496877034,0.08333333333333333,0.25,12
160,20,434,10.045528411865234,6.627044677734375,5.239075342814128,4.686822255452474,0.6666666666666666,0.5833333333333334,12
161,20,15239,10.041110038757324,10.041110038757324,0.8367591698964437,0.0,0.16666666666666666,0.0,12
162,20,7429,10.020074844360352,10.020074844360352,1.4429020881652832,0.6078958511352539,0.4166666666666667,0.16666666666666666,12
163,20,10040,10.018708229064941,6.280248165130615,4.992328961690267,4.46897538503011,1.0,0.9166666666666666,12
164,20,6579,9.977542877197266,9.977542877197266,0.8314619064331055,0.0,0.25,0.0,12
165,20,7314,9.936562538146973,9.936562538146973,1.7814111709594727,0.953364372253418,0.4166666666666667,0.25,12
166,20,4453,9.86543083190918,-9.86543083190918,0.8667519887288412,1.6888710657755535,0.25,0.4166666666666667,12
167,20,9035,9.863147735595703,1.810342788696289,1.4489803314208984,1.2981185118357341,0.25,0.16666666666666666,12
168,20,7295,9.86309814453125,9.86309814453125,2.40125306447347,1.579328219095866,0.5833333333333334,0.5,12
169,20,15258,9.83053970336914,-2.8948583602905273,2.4481029510498047,2.6893412272135415,0.6666666666666666,0.6666666666666666,12
170,20,3593,9.807991027832031,3.209918975830078,1.725772221883138,1.4582791328430176,0.5,0.4166666666666667,12
171,20,6671,9.779840469360352,-8.916559219360352,1.373837153116862,2.116883913675944,0.3333333333333333,0.4166666666666667,12
172,20,4439,9.740798950195312,-9.740798950195312,0.5917757352193197,1.403508981068929,0.16666666666666666,0.4166666666666667,12
173,20,12479,9.735251426696777,-0.006549835205078125,2.7480691274007163,2.748614947001139,0.6666666666666666,0.6666666666666666,12
174,20,983,9.717155456542969,-9.717155456542969,0.7689297199249268,1.5786927541097004,0.25,0.4166666666666667,12
175,20,4445,9.71663761138916,9.71663761138916,0.8097198009490967,0.0,0.25,0.0,12
176,20,13949,9.694339752197266,9.694339752197266,0.8078616460164388,0.0,0.25,0.0,12
177,20,14525,9.63553237915039,2.551682472229004,1.4048218727111816,1.1921815872192383,0.4166666666666667,0.3333333333333333,12
178,20,9892,9.611751556396484,2.162141799926758,3.6656106313069663,3.485431671142578,0.9166666666666666,0.8333333333333334,12
179,20,8295,9.578048706054688,9.020845413208008,2.3061676025390625,1.554430325826009,0.5833333333333334,0.4166666666666667,12
