feature_id,layer,max_activation,mean_activation,model_alpha,n,nonzero_fraction,split,target_alpha
40,12,1.73046875,0.00337982177734375,0.0,512,0.001953125,benign,0.0
12075,12,3.611328125,0.16523361206054688,0.0,512,0.0703125,benign,0.0
16048,19,12.984375,0.10819244384765625,0.0,512,0.017578125,benign,0.0
40,12,0.0,0.0,0.0,512,0.0,harmful,0.0
12075,12,3.60546875,0.1719951629638672,0.0,512,0.072265625,harmful,0.0
16048,19,12.15625,0.14864349365234375,0.0,512,0.029296875,harmful,0.0
40,12,0.0,0.0,0.0,511,0.0,benign,0.75
12075,12,4.10546875,0.20528452177103718,0.0,511,0.08806262230919765,benign,0.75
16048,19,26.15625,0.19570236056751467,0.0,511,0.025440313111545987,benign,0.75
40,12,2.06640625,0.00787353515625,0.0,512,0.00390625,harmful,0.75
12075,12,3.990234375,0.3332691192626953,0.0,512,0.138671875,harmful,0.75
16048,19,9.546875,0.2490997314453125,0.0,512,0.05078125,harmful,0.75
40,12,1.8125,0.0035400390625,0.25,512,0.001953125,benign,0.0
12075,12,3.55859375,0.163116455078125,0.25,512,0.068359375,benign,0.0
16048,19,13.109375,0.124298095703125,0.25,512,0.025390625,benign,0.0
40,12,1.669921875,0.003261566162109375,0.25,512,0.001953125,harmful,0.0
12075,12,3.703125,0.18025970458984375,0.25,512,0.076171875,harmful,0.0
16048,19,18.125,0.3647918701171875,0.25,512,0.048828125,harmful,0.0
40,12,0.0,0.0,0.25,511,0.0,benign,0.75
12075,12,4.13671875,0.2100163588551859,0.25,511,0.09001956947162426,benign,0.75
16048,19,27.390625,0.20337726272015655,0.25,511,0.029354207436399216,benign,0.75
40,12,2.89453125,0.04273223876953125,0.25,512,0.017578125,harmful,0.75
12075,12,3.943359375,0.4179954528808594,0.25,512,0.169921875,harmful,0.75
16048,19,9.5625,0.12726593017578125,0.25,512,0.029296875,harmful,0.75
40,12,1.8984375,0.0037078857421875,0.5,512,0.001953125,benign,0.0
12075,12,3.552734375,0.17333602905273438,0.5,512,0.07421875,benign,0.0
16048,19,13.25,0.1394195556640625,0.5,512,0.029296875,benign,0.0
40,12,1.78125,0.006816864013671875,0.5,512,0.00390625,harmful,0.0
12075,12,3.982421875,0.17412185668945312,0.5,512,0.072265625,harmful,0.0
16048,19,28.34375,0.575408935546875,0.5,512,0.0703125,harmful,0.0
40,12,1.76953125,0.00346287915851272,0.5,511,0.0019569471624266144,benign,0.75
12075,12,4.16015625,0.21301102311643835,0.5,511,0.09197651663405088,benign,0.75
16048,19,28.34375,0.21060879403131116,0.5,511,0.029354207436399216,benign,0.75
40,12,3.80859375,0.1079559326171875,0.5,512,0.04296875,harmful,0.75
12075,12,3.837890625,0.47116661071777344,0.5,512,0.19140625,harmful,0.75
16048,19,8.96875,0.100738525390625,0.5,512,0.01953125,harmful,0.75
40,12,1.96484375,0.00383758544921875,0.75,512,0.001953125,benign,0.0
12075,12,3.62109375,0.17032241821289062,0.75,512,0.072265625,benign,0.0
16048,19,13.296875,0.14577484130859375,0.75,512,0.029296875,benign,0.0
40,12,2.21875,0.0113067626953125,0.75,512,0.005859375,harmful,0.0
12075,12,4.15234375,0.18445205688476562,0.75,512,0.078125,harmful,0.0
16048,19,30.6875,0.6230239868164062,0.75,512,0.076171875,harmful,0.0
40,12,1.8984375,0.0070136680528375735,0.75,511,0.003913894324853229,benign,0.75
12075,12,4.171875,0.20974116316046967,0.75,511,0.09001956947162426,benign,0.75
16048,19,29.15625,0.21833720645792565,0.75,511,0.029354207436399216,benign,0.75
40,12,4.35546875,0.1985931396484375,0.75,512,0.080078125,harmful,0.75
12075,12,3.8671875,0.49581336975097656,0.75,512,0.201171875,harmful,0.75
16048,19,10.859375,0.09819793701171875,0.75,512,0.017578125,harmful,0.75
40,12,2.015625,0.007366180419921875,1.0,512,0.00390625,benign,0.0
12075,12,3.650390625,0.1702136993408203,1.0,512,0.072265625,benign,0.0
16048,19,13.3125,0.1572723388671875,1.0,512,0.03125,benign,0.0
40,12,2.50390625,0.027606964111328125,1.0,512,0.013671875,harmful,0.0
12075,12,4.2578125,0.1986255645751953,1.0,512,0.0859375,harmful,0.0
16048,19,28.8125,0.5759963989257812,1.0,512,0.072265625,harmful,0.0
40,12,1.98046875,0.0072926859099804306,1.0,511,0.003913894324853229,benign,0.75
12075,12,4.18359375,0.20941436827299412,1.0,511,0.09001956947162426,benign,0.75
16048,19,29.90625,0.22738808708414873,1.0,511,0.029354207436399216,benign,0.75
40,12,4.7265625,0.2879600524902344,1.0,512,0.115234375,harmful,0.75
12075,12,3.83984375,0.5058765411376953,1.0,512,0.205078125,harmful,0.75
16048,19,12.1875,0.10005950927734375,1.0,512,0.017578125,harmful,0.75
