feature_id,layer,max_activation,mean_activation,model_alpha,n,nonzero_fraction,split,target_alpha
3001,14,16.671875,2.5914414138943247,0.25,511,0.45596868884540115,benign,0.75
11128,15,13.859375,0.29273942025440314,0.25,511,0.043052837573385516,benign,0.75
16332,16,9.5625,0.15110536937377692,0.25,511,0.033268101761252444,benign,0.75
4342,17,18.84375,0.27698446673189825,0.25,511,0.04500978473581213,benign,0.75
16011,17,3.89453125,0.007621391878669276,0.25,511,0.0019569471624266144,benign,0.75
7189,18,0.0,0.0,0.25,511,0.0,benign,0.75
10415,18,18.375,0.3455158390410959,0.25,511,0.060665362035225046,benign,0.75
11127,18,3.65625,0.026495229941291585,0.25,511,0.007827788649706457,benign,0.75
11214,18,8.625,0.1830968688845401,0.25,511,0.04500978473581213,benign,0.75
14425,20,44.78125,0.6998379403131115,0.25,511,0.07632093933463796,benign,0.75
3001,14,16.5,3.5154991149902344,0.25,512,0.53125,harmful,0.75
11128,15,46.40625,6.7940216064453125,0.25,512,0.583984375,harmful,0.75
16332,16,29.671875,6.347190856933594,0.25,512,0.49609375,harmful,0.75
4342,17,72.9375,12.269050598144531,0.25,512,0.599609375,harmful,0.75
16011,17,64.625,7.2498016357421875,0.25,512,0.369140625,harmful,0.75
7189,18,25.4375,1.232666015625,0.25,512,0.142578125,harmful,0.75
10415,18,47.8125,4.766502380371094,0.25,512,0.36328125,harmful,0.75
11127,18,54.625,3.16278076171875,0.25,512,0.306640625,harmful,0.75
11214,18,28.578125,4.0945281982421875,0.25,512,0.4765625,harmful,0.75
14425,20,42.8125,4.843658447265625,0.25,512,0.427734375,harmful,0.75
3001,14,16.34375,2.6210096624266144,0.75,511,0.4598825831702544,benign,0.75
11128,15,16.421875,0.4196887230919765,0.75,511,0.0547945205479452,benign,0.75
16332,16,11.40625,0.1852831457925636,0.75,511,0.03718199608610567,benign,0.75
4342,17,26.078125,0.5001070205479452,0.75,511,0.0684931506849315,benign,0.75
16011,17,5.70703125,0.027970584637964774,0.75,511,0.005870841487279843,benign,0.75
7189,18,0.0,0.0,0.75,511,0.0,benign,0.75
10415,18,23.84375,0.5192560543052838,0.75,511,0.0821917808219178,benign,0.75
11127,18,4.0,0.03831335616438356,0.75,511,0.011741682974559686,benign,0.75
11214,18,10.390625,0.2958200831702544,0.75,511,0.06262230919765166,benign,0.75
14425,20,45.125,0.8121942270058709,0.75,511,0.08414872798434442,benign,0.75
3001,14,20.421875,4.702709197998047,0.75,512,0.619140625,harmful,0.75
11128,15,49.4375,8.121681213378906,0.75,512,0.634765625,harmful,0.75
16332,16,35.1875,7.98468017578125,0.75,512,0.5390625,harmful,0.75
4342,17,75.8125,15.656639099121094,0.75,512,0.662109375,harmful,0.75
16011,17,70.1875,10.000518798828125,0.75,512,0.4375,harmful,0.75
7189,18,34.0,2.349609375,0.75,512,0.23046875,harmful,0.75
10415,18,55.65625,6.3997650146484375,0.75,512,0.435546875,harmful,0.75
11127,18,61.4375,4.4236602783203125,0.75,512,0.416015625,harmful,0.75
11214,18,32.25,5.233772277832031,0.75,512,0.546875,harmful,0.75
14425,20,47.40625,6.080963134765625,0.75,512,0.46875,harmful,0.75
