config,dict_size,explained_variance,hidden_size,l0,l1_coeff,layer,mean_abs_activation,mse,n_rows
d512_l1_0.0001,512,0.9995223369108175,1536,171.93658447265625,0.0001,16,0.13249246776103973,1.701681139820721e-05,205
d512_l1_0.0001,512,0.9993669702746925,1536,175.63414001464844,0.0001,17,0.16619731485843658,3.411393481655978e-05,205
d512_l1_0.0001,512,0.9993562523731092,1536,174.3756103515625,0.0001,18,0.18926353752613068,4.4101056118961424e-05,205
d512_l1_0.0001,512,0.9978970145120848,1536,176.14146423339844,0.0001,19,0.24538514018058777,0.00023727698135189712,205
d512_l1_0.0001,512,0.9986207712949569,1536,174.83901977539062,0.0001,20,0.26822659373283386,0.0001887900725705549,205
d512_l1_0.0001,512,0.9975245355340696,1536,176.19024658203125,0.0001,21,0.34195318818092346,0.0005488082533702254,205
d512_l1_0.0001,512,0.9990354990804639,1536,175.6243896484375,0.0001,22,0.3774867355823517,0.0002566826588008553,205
d512_l1_0.0001,512,0.9990438812224081,1536,175.243896484375,0.0001,23,0.38287830352783203,0.0002599786384962499,205
d1024_l1_0.0001,1024,0.997490771510216,1536,321.9756164550781,0.0001,16,0.08255542814731598,8.939160034060478e-05,205
d1024_l1_0.0001,1024,0.9989240679822192,1536,328.80487060546875,0.0001,17,0.10338544100522995,5.7981913414550945e-05,205
d1024_l1_0.0001,1024,0.9989608997409682,1536,326.1317138671875,0.0001,18,0.11486072838306427,7.118537905625999e-05,205
d1024_l1_0.0001,1024,0.9975599038315882,1536,329.2731628417969,0.0001,19,0.15139316022396088,0.0002753127191681415,205
d1024_l1_0.0001,1024,0.9970562414182539,1536,331.93658447265625,0.0001,20,0.1672370284795761,0.00040294433711096644,205
d1024_l1_0.0001,1024,0.999190667578144,1536,326.8487854003906,0.0001,21,0.21103623509407043,0.00017942827253136784,205
d1024_l1_0.0001,1024,0.9969616752720121,1536,332.31707763671875,0.0001,22,0.23522432148456573,0.0008085894514806569,205
d1024_l1_0.0001,1024,0.9962034215407419,1536,335.57562255859375,0.0001,23,0.23591922223567963,0.0010323291644454002,205
