config,dict_size,explained_variance,hidden_size,l0,l1_coeff,layer,mean_abs_activation,mse,n_rows
d1536_l1_0.0001,1536,0.9906390584781857,1536,489.48779296875,0.0001,16,0.020689276978373528,0.00010289764759363607,164
d1536_l1_0.0001,1536,0.997937941545009,1536,539.8109741210938,0.0001,17,0.02716835029423237,3.6455312510952353e-05,164
d1536_l1_0.0001,1536,0.9956570933859785,1536,560.6585083007812,0.0001,18,0.03163307532668114,0.00010283172741765156,164
d1536_l1_0.0001,1536,0.9938558345156988,1536,597.3780517578125,0.0001,19,0.03964463248848915,0.0002341972867725417,164
d1536_l1_0.0001,1536,0.995555707760645,1536,612.9085083007812,0.0001,20,0.0460212379693985,0.00021102189202792943,164
d1536_l1_0.0001,1536,0.9939310487053752,1536,606.3231201171875,0.0001,21,0.056676413863897324,0.0004485170647967607,164
d1536_l1_0.0001,1536,0.9971858067148667,1536,669.6036376953125,0.0001,22,0.06699032336473465,0.0002578379353508353,164
d1536_l1_0.0001,1536,0.9966477053270035,1536,688.243896484375,0.0001,23,0.06682222336530685,0.00031084497459232807,164
d2048_l1_0.0001,2048,0.9933680507603267,1536,640.5182495117188,0.0001,16,0.016641726717352867,7.289992936421186e-05,164
d2048_l1_0.0001,2048,0.9987857704655196,1536,670.6768188476562,0.0001,17,0.020905910059809685,2.1466470570885576e-05,164
d2048_l1_0.0001,2048,0.9959233722191897,1536,716.0243530273438,0.0001,18,0.024144278839230537,9.652675362303853e-05,164
d2048_l1_0.0001,2048,0.9972568231138633,1536,791.1463012695312,0.0001,19,0.03379528596997261,0.00010456173185957596,164
d2048_l1_0.0001,2048,0.9958870034028842,1536,791.9329223632812,0.0001,20,0.03719624504446983,0.00019529146084096283,164
d2048_l1_0.0001,2048,0.9944964416020267,1536,846.4146118164062,0.0001,21,0.04837476834654808,0.00040673252078704536,164
d2048_l1_0.0001,2048,0.9953358415005015,1536,854.0304565429688,0.0001,22,0.053525008261203766,0.00042733276495710015,164
d2048_l1_0.0001,2048,0.9973463822188173,1536,920.969482421875,0.0001,23,0.055583637207746506,0.00024605944054201245,164
