basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq
centered_pca,64,0.9247688236425801,2560.673583984375,16,164,64,2768.98779296875
raw_pca,64,0.9371367487494282,3157.82275390625,16,164,64,3369.64990234375
centered_pca,64,0.9324536865925176,4152.6201171875,17,164,64,4453.43310546875
raw_pca,64,0.9377827426437078,4686.0234375,17,164,64,4996.91796875
centered_pca,64,0.9335641436887787,5568.341796875,18,164,64,5964.60546875
raw_pca,64,0.9390591713559532,6398.9775390625,18,164,64,6814.2431640625
centered_pca,64,0.9357709111849405,8985.11328125,19,164,64,9601.830078125
raw_pca,64,0.9388469283026791,9851.478515625,19,164,64,10493.16796875
centered_pca,64,0.9362564910366725,11198.369140625,20,164,64,11960.7919921875
raw_pca,64,0.9420566763122197,12918.0478515625,20,164,64,13712.6015625
centered_pca,64,0.9340409370836262,17388.66796875,21,164,64,18616.6015625
raw_pca,64,0.9415593530660019,20345.4921875,21,164,64,21608.294921875
centered_pca,64,0.936904626705186,21623.3671875,22,164,64,23079.58203125
raw_pca,64,0.9386714962156989,23292.83984375,22,164,64,24814.6875
centered_pca,64,0.9394957541921677,21944.796875,23,164,64,23358.05859375
raw_pca,64,0.9442196415587331,25043.578125,23,164,64,26523.04296875
