accuracy,balanced_accuracy,basis,dim,n_eval,n_negative,n_positive,n_total,representation,target
0.7160493731498718,0.7160493731498718,raw,full,81,93,1,94,mlp_out_l15,audit_clean_refusal
0.48148149251937866,0.48148149251937866,pca,16,81,93,1,94,mlp_out_l15,audit_clean_refusal
0.48148149251937866,0.48148149251937866,pca,32,81,93,1,94,mlp_out_l15,audit_clean_refusal
0.4444444477558136,0.4444444477558136,random,16,81,93,1,94,mlp_out_l15,audit_clean_refusal
0.4691357910633087,0.4691357910633087,random,32,81,93,1,94,mlp_out_l15,audit_clean_refusal
0.3827160596847534,0.3827160596847534,topvar,16,81,93,1,94,mlp_out_l15,audit_clean_refusal
0.395061731338501,0.395061731338501,topvar,32,81,93,1,94,mlp_out_l15,audit_clean_refusal
0.7765957713127136,0.7912087738513947,raw,full,94,42,52,94,mlp_out_l15,audit_refusal_attempt
0.7340425252914429,0.7527472376823425,pca,16,94,42,52,94,mlp_out_l15,audit_refusal_attempt
0.7446808218955994,0.7623626291751862,pca,32,94,42,52,94,mlp_out_l15,audit_refusal_attempt
0.7021276354789734,0.7193223237991333,random,16,94,42,52,94,mlp_out_l15,audit_refusal_attempt
0.7340425252914429,0.7527472376823425,random,32,94,42,52,94,mlp_out_l15,audit_refusal_attempt
0.6914893388748169,0.7142857015132904,topvar,16,94,42,52,94,mlp_out_l15,audit_refusal_attempt
0.6808510422706604,0.7046703100204468,topvar,32,94,42,52,94,mlp_out_l15,audit_refusal_attempt
0.6595744490623474,0.723437488079071,raw,full,94,30,64,94,mlp_out_l15,audit_messy_or_unsafe
0.6170212626457214,0.692187488079071,pca,16,94,30,64,94,mlp_out_l15,audit_messy_or_unsafe
0.6170212626457214,0.692187488079071,pca,32,94,30,64,94,mlp_out_l15,audit_messy_or_unsafe
0.5744680762290955,0.6432291567325592,random,16,94,30,64,94,mlp_out_l15,audit_messy_or_unsafe
0.5957446694374084,0.676562488079071,random,32,94,30,64,94,mlp_out_l15,audit_messy_or_unsafe
0.5531914830207825,0.645312488079071,topvar,16,94,30,64,94,mlp_out_l15,audit_messy_or_unsafe
0.5319148898124695,0.629687488079071,topvar,32,94,30,64,94,mlp_out_l15,audit_messy_or_unsafe
0.6595744490623474,0.7251989543437958,raw,full,94,65,29,94,mlp_out_l15,audit_no_refusal
0.6063829660415649,0.6867374032735825,pca,16,94,65,29,94,mlp_out_l15,audit_no_refusal
0.6063829660415649,0.6867374032735825,pca,32,94,65,29,94,mlp_out_l15,audit_no_refusal
0.585106372833252,0.652254655957222,random,16,94,65,29,94,mlp_out_l15,audit_no_refusal
0.585106372833252,0.6713527888059616,random,32,94,65,29,94,mlp_out_l15,audit_no_refusal
