accuracy,balanced_accuracy,basis,dim,n_eval,n_negative,n_positive,n_total,representation,target
0.8214285969734192,0.8258385360240936,raw,full,336,161,175,336,mlp_out_l15,failure_attempted_refusal
0.8035714030265808,0.8086956739425659,pca,16,336,161,175,336,mlp_out_l15,failure_attempted_refusal
0.8035714030265808,0.8086956739425659,pca,32,336,161,175,336,mlp_out_l15,failure_attempted_refusal
0.7559523582458496,0.7614907026290894,random,16,336,161,175,336,mlp_out_l15,failure_attempted_refusal
0.7797619104385376,0.7865838706493378,random,32,336,161,175,336,mlp_out_l15,failure_attempted_refusal
0.7291666865348816,0.7382608652114868,topvar,16,336,161,175,336,mlp_out_l15,failure_attempted_refusal
0.7440476417541504,0.7527950406074524,topvar,32,336,161,175,336,mlp_out_l15,failure_attempted_refusal
0.7714285850524902,0.7714285850524902,raw,full,280,335,1,336,mlp_out_l15,failure_clean_refusal
0.4535714387893677,0.4535714387893677,pca,16,280,335,1,336,mlp_out_l15,failure_clean_refusal
0.46071428060531616,0.46071428060531616,pca,32,280,335,1,336,mlp_out_l15,failure_clean_refusal
0.4392857253551483,0.4392857253551483,random,16,280,335,1,336,mlp_out_l15,failure_clean_refusal
0.4285714328289032,0.4285714328289032,random,32,280,335,1,336,mlp_out_l15,failure_clean_refusal
0.3928571343421936,0.3928571343421936,topvar,16,280,335,1,336,mlp_out_l15,failure_clean_refusal
0.38928571343421936,0.38928571343421936,topvar,32,280,335,1,336,mlp_out_l15,failure_clean_refusal
0.7410714030265808,0.7832212448120117,raw,full,336,121,215,336,mlp_out_l15,failure_problem_response
0.7142857313156128,0.7622909843921661,pca,16,336,121,215,336,mlp_out_l15,failure_problem_response
0.7142857313156128,0.7622909843921661,pca,32,336,121,215,336,mlp_out_l15,failure_problem_response
0.6815476417541504,0.734902948141098,random,16,336,121,215,336,mlp_out_l15,failure_problem_response
0.6785714030265808,0.7343840301036835,random,32,336,121,215,336,mlp_out_l15,failure_problem_response
0.6398809552192688,0.7059580981731415,topvar,16,336,121,215,336,mlp_out_l15,failure_problem_response
0.6339285969734192,0.6995003074407578,topvar,32,336,121,215,336,mlp_out_l15,failure_problem_response
0.8184523582458496,0.8223712146282196,raw,full,336,162,174,336,mlp_out_l15,failure_bad_attempt
0.7976190447807312,0.8022562563419342,pca,16,336,162,174,336,mlp_out_l15,failure_bad_attempt
0.7976190447807312,0.8022562563419342,pca,32,336,162,174,336,mlp_out_l15,failure_bad_attempt
0.7589285969734192,0.7636228203773499,random,16,336,162,174,336,mlp_out_l15,failure_bad_attempt
0.7827380895614624,0.7885270416736603,random,32,336,162,174,336,mlp_out_l15,failure_bad_attempt
0.7291666865348816,0.7370157539844513,topvar,16,336,162,174,336,mlp_out_l15,failure_bad_attempt
0.7410714030265808,0.7487228810787201,topvar,32,336,162,174,336,mlp_out_l15,failure_bad_attempt
0.886904776096344,0.8509259521961212,raw,full,336,216,120,336,mlp_out_l15,failure_repetition
0.9017857313156128,0.8828703761100769,pca,16,336,216,120,336,mlp_out_l15,failure_repetition
0.9017857313156128,0.8828703761100769,pca,32,336,216,120,336,mlp_out_l15,failure_repetition
0.8482142686843872,0.8337963223457336,random,16,336,216,120,336,mlp_out_l15,failure_repetition
0.886904776096344,0.8620370328426361,random,32,336,216,120,336,mlp_out_l15,failure_repetition
0.7767857313156128,0.7467592656612396,topvar,16,336,216,120,336,mlp_out_l15,failure_repetition
0.8184523582458496,0.7791666686534882,topvar,32,336,216,120,336,mlp_out_l15,failure_repetition
0.6339285969734192,0.7238562107086182,raw,full,336,306,30,336,mlp_out_l15,failure_artifact
0.4970238208770752,0.7238562107086182,pca,16,336,306,30,336,mlp_out_l15,failure_artifact
0.4970238208770752,0.7238562107086182,pca,32,336,306,30,336,mlp_out_l15,failure_artifact
0.4791666567325592,0.71405228972435,random,16,336,306,30,336,mlp_out_l15,failure_artifact
0.4791666567325592,0.71405228972435,random,32,336,306,30,336,mlp_out_l15,failure_artifact
0.5089285969734192,0.7153594642877579,topvar,16,336,306,30,336,mlp_out_l15,failure_artifact
0.494047611951828,0.707189530134201,topvar,32,336,306,30,336,mlp_out_l15,failure_artifact
0.6220238208770752,0.660431444644928,raw,full,336,271,65,336,mlp_out_l15,failure_unsafe_or_contradictory
0.4851190447807312,0.6164916306734085,pca,16,336,271,65,336,mlp_out_l15,failure_unsafe_or_contradictory
0.488095223903656,0.6183366477489471,pca,32,336,271,65,336,mlp_out_l15,failure_unsafe_or_contradictory
0.5059523582458496,0.6352540552616119,random,16,336,271,65,336,mlp_out_l15,failure_unsafe_or_contradictory
0.5327380895614624,0.6401646435260773,random,32,336,271,65,336,mlp_out_l15,failure_unsafe_or_contradictory
0.5089285969734192,0.6078626215457916,topvar,16,336,271,65,336,mlp_out_l15,failure_unsafe_or_contradictory
0.4821428656578064,0.5912574529647827,topvar,32,336,271,65,336,mlp_out_l15,failure_unsafe_or_contradictory
0.738095223903656,0.7814814746379852,raw,full,336,216,120,336,mlp_out_l15,failure_no_refusal
0.711309552192688,0.7606481611728668,pca,16,336,216,120,336,mlp_out_l15,failure_no_refusal
0.7142857313156128,0.7629629671573639,pca,32,336,216,120,336,mlp_out_l15,failure_no_refusal
0.675595223903656,0.7310185134410858,random,16,336,216,120,336,mlp_out_l15,failure_no_refusal
0.675595223903656,0.7328703701496124,random,32,336,216,120,336,mlp_out_l15,failure_no_refusal
0.6458333134651184,0.7115740776062012,topvar,16,336,216,120,336,mlp_out_l15,failure_no_refusal
0.6398809552192688,0.7050925940275192,topvar,32,336,216,120,336,mlp_out_l15,failure_no_refusal
0.836309552192688,0.8406211137771606,raw,full,336,161,175,336,mlp_out_l20,failure_attempted_refusal
0.8184523582458496,0.822236031293869,pca,16,336,161,175,336,mlp_out_l20,failure_attempted_refusal
0.8184523582458496,0.822236031293869,pca,32,336,161,175,336,mlp_out_l20,failure_attempted_refusal
0.7767857313156128,0.7817391157150269,random,16,336,161,175,336,mlp_out_l20,failure_attempted_refusal
0.7976190447807312,0.8014906942844391,random,32,336,161,175,336,mlp_out_l20,failure_attempted_refusal
0.7976190447807312,0.802236020565033,topvar,16,336,161,175,336,mlp_out_l20,failure_attempted_refusal
0.7946428656578064,0.799378901720047,topvar,32,336,161,175,336,mlp_out_l20,failure_attempted_refusal
0.8071428537368774,0.8071428537368774,raw,full,280,335,1,336,mlp_out_l20,failure_clean_refusal
0.4535714387893677,0.4535714387893677,pca,16,280,335,1,336,mlp_out_l20,failure_clean_refusal
0.44999998807907104,0.44999998807907104,pca,32,280,335,1,336,mlp_out_l20,failure_clean_refusal
0.5,0.5,random,16,280,335,1,336,mlp_out_l20,failure_clean_refusal
0.47857141494750977,0.47857141494750977,random,32,280,335,1,336,mlp_out_l20,failure_clean_refusal
0.4178571403026581,0.4178571403026581,topvar,16,280,335,1,336,mlp_out_l20,failure_clean_refusal
0.4178571403026581,0.4178571403026581,topvar,32,280,335,1,336,mlp_out_l20,failure_clean_refusal
0.7410714030265808,0.7832212448120117,raw,full,336,121,215,336,mlp_out_l20,failure_problem_response
0.7232142686843872,0.769267737865448,pca,16,336,121,215,336,mlp_out_l20,failure_problem_response
0.7232142686843872,0.769267737865448,pca,32,336,121,215,336,mlp_out_l20,failure_problem_response
0.6934523582458496,0.7442052662372589,random,16,336,121,215,336,mlp_out_l20,failure_problem_response
0.7172619104385376,0.7555833160877228,random,32,336,121,215,336,mlp_out_l20,failure_problem_response
0.6904761791229248,0.7346530854701996,topvar,16,336,121,215,336,mlp_out_l20,failure_problem_response
0.7053571343421936,0.7553142607212067,topvar,32,336,121,215,336,mlp_out_l20,failure_problem_response
0.8422619104385376,0.8459983170032501,raw,full,336,162,174,336,mlp_out_l20,failure_bad_attempt
0.824404776096344,0.8276926279067993,pca,16,336,162,174,336,mlp_out_l20,failure_bad_attempt
0.824404776096344,0.8276926279067993,pca,32,336,162,174,336,mlp_out_l20,failure_bad_attempt
0.7827380895614624,0.7868241667747498,random,16,336,162,174,336,mlp_out_l20,failure_bad_attempt
0.8035714030265808,0.8069391250610352,random,32,336,162,174,336,mlp_out_l20,failure_bad_attempt
0.7976190447807312,0.8016177117824554,topvar,16,336,162,174,336,mlp_out_l20,failure_bad_attempt
0.7976190447807312,0.8016177117824554,topvar,32,336,162,174,336,mlp_out_l20,failure_bad_attempt
0.913690447807312,0.890277773141861,raw,full,336,216,120,336,mlp_out_l20,failure_repetition
0.9464285969734192,0.9398148357868195,pca,16,336,216,120,336,mlp_out_l20,failure_repetition
0.9464285969734192,0.9398148357868195,pca,32,336,216,120,336,mlp_out_l20,failure_repetition
0.8184523582458496,0.8310185074806213,random,16,336,216,120,336,mlp_out_l20,failure_repetition
0.8809523582458496,0.8759259283542633,random,32,336,216,120,336,mlp_out_l20,failure_repetition
0.8809523582458496,0.8703703582286835,topvar,16,336,216,120,336,mlp_out_l20,failure_repetition
0.886904776096344,0.8861111104488373,topvar,32,336,216,120,336,mlp_out_l20,failure_repetition
0.6607142686843872,0.678431361913681,raw,full,336,306,30,336,mlp_out_l20,failure_artifact
0.5833333134651184,0.7712418437004089,pca,16,336,306,30,336,mlp_out_l20,failure_artifact
0.5833333134651184,0.7712418437004089,pca,32,336,306,30,336,mlp_out_l20,failure_artifact
0.5892857313156128,0.7594771087169647,random,16,336,306,30,336,mlp_out_l20,failure_artifact
0.5595238208770752,0.7281045913696289,random,32,336,306,30,336,mlp_out_l20,failure_artifact
0.5029761791229248,0.6970588266849518,topvar,16,336,306,30,336,mlp_out_l20,failure_artifact
