artifact_rate,attempt_preserved,attempted_refusal_rate,bad_attempt_rate,clean_refusal_rate,delta_artifact_rate,delta_attempted_refusal_rate,delta_bad_attempt_rate,delta_clean_refusal_rate,delta_no_refusal_rate,delta_problem_response_rate,delta_repetition_rate,delta_unsafe_or_contradictory_rate,donor,invalid_generation_rate,kind,layers,model,module,n,no_refusal_rate,patch_spec,problem_reduction_vs_recipient,problem_response_rate,recipient,repetition_rate,unsafe_or_contradictory_rate
0.125,True,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,recipient_baseline,,merge_all_linear,,16,0.1875,none,0.0,0.8125,merge_all_linear,0.25,0.4375
0.0,False,0.0,0.0,0.0,-0.125,-0.75,-0.75,0.0,0.6875,-0.6875,-0.25,-0.3125,merge_arith_polite,0.0,donor_reference,,merge_arith_polite,,16,0.875,donor_reference,0.6875,0.125,merge_all_linear,0.0,0.125
0.0,False,0.0,0.0,0.0,-0.125,-0.75,-0.75,0.0,0.625,-0.625,-0.25,-0.25,base,0.0,donor_reference,,base,,16,0.8125,donor_reference,0.625,0.1875,merge_all_linear,0.0,0.1875
0.125,False,0.5625,0.5625,0.0,0.0,-0.1875,-0.1875,0.0,0.0625,-0.0625,-0.0625,0.0,merge_arith_polite,0.0,patch,20,merge_all_linear__merge_arith_polite__20:block,block,16,0.25,20:block,0.0625,0.75,merge_all_linear,0.1875,0.4375
0.25,True,0.6875,0.6875,0.0,0.125,-0.0625,-0.0625,0.0,0.0625,-0.0625,-0.0625,-0.125,merge_arith_polite,0.0,patch,25,merge_all_linear__merge_arith_polite__25:block,block,16,0.25,25:block,0.0625,0.75,merge_all_linear,0.1875,0.3125
0.1875,False,0.375,0.375,0.0,0.0625,-0.375,-0.375,0.0,-0.0625,0.0625,-0.125,0.125,merge_arith_polite,0.0,patch,29,merge_all_linear__merge_arith_polite__29:block,block,16,0.125,29:block,-0.0625,0.875,merge_all_linear,0.125,0.5625
0.1875,True,0.6875,0.6875,0.0,0.0625,-0.0625,-0.0625,0.0,0.0625,-0.0625,-0.0625,-0.0625,merge_arith_polite,0.0,patch,20+25+29,merge_all_linear__merge_arith_polite__20+25+29:attn,attn,16,0.25,20+25+29:attn,0.0625,0.75,merge_all_linear,0.1875,0.375
0.1875,False,0.25,0.25,0.0,0.0625,-0.5,-0.5,0.0,0.0,0.0,-0.25,0.1875,merge_arith_polite,0.0,patch,20+25+29,merge_all_linear__merge_arith_polite__20+25+29:mlp,mlp,16,0.1875,20+25+29:mlp,0.0,0.8125,merge_all_linear,0.0,0.625
0.1875,False,0.25,0.25,0.0,0.0625,-0.5,-0.5,0.0,0.0,0.0,-0.25,0.1875,merge_arith_polite,0.0,patch,20+25+29,merge_all_linear__merge_arith_polite__20+25+29:block,block,16,0.1875,20+25+29:block,0.0,0.8125,merge_all_linear,0.0,0.625
0.1875,True,0.75,0.75,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,-0.125,base,0.0,patch,20,merge_all_linear__base__20:block,block,16,0.1875,20:block,0.0,0.8125,merge_all_linear,0.3125,0.3125
0.1875,True,0.75,0.75,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.125,-0.1875,base,0.0,patch,25,merge_all_linear__base__25:block,block,16,0.1875,25:block,0.0,0.8125,merge_all_linear,0.375,0.25
0.1875,True,0.6875,0.5625,0.125,0.0625,-0.0625,-0.1875,0.125,0.0625,-0.1875,-0.1875,-0.0625,base,0.0,patch,29,merge_all_linear__base__29:block,block,16,0.25,29:block,0.1875,0.625,merge_all_linear,0.0625,0.375
0.1875,True,0.75,0.75,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,-0.0625,base,0.0,patch,20+25+29,merge_all_linear__base__20+25+29:attn,attn,16,0.1875,20+25+29:attn,0.0,0.8125,merge_all_linear,0.25,0.375
0.1875,False,0.5625,0.4375,0.125,0.0625,-0.1875,-0.3125,0.125,0.1875,-0.3125,-0.25,-0.125,base,0.0,patch,20+25+29,merge_all_linear__base__20+25+29:mlp,mlp,16,0.375,20+25+29:mlp,0.3125,0.5,merge_all_linear,0.0,0.3125
0.0625,False,0.5,0.4375,0.0625,-0.0625,-0.25,-0.3125,0.0625,0.25,-0.3125,-0.25,0.0,base,0.0,patch,20+25+29,merge_all_linear__base__20+25+29:block,block,16,0.4375,20+25+29:block,0.3125,0.5,merge_all_linear,0.0,0.4375
