artifact_rate,attempt_preserved,attempted_refusal_rate,bad_attempt_rate,clean_refusal_rate,delta_artifact_rate,delta_attempted_refusal_rate,delta_bad_attempt_rate,delta_clean_refusal_rate,delta_no_refusal_rate,delta_problem_response_rate,delta_repetition_rate,delta_unsafe_or_contradictory_rate,donor,invalid_generation_rate,kind,layers,model,module,n,no_refusal_rate,patch_spec,problem_reduction_vs_recipient,problem_response_rate,recipient,repetition_rate,unsafe_or_contradictory_rate
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,recipient_baseline,,merge_arith_refusal,,16,0.0,none,0.0,1.0,merge_arith_refusal,1.0,0.0
0.125,False,0.75,0.75,0.0,0.125,-0.25,-0.25,0.0,0.1875,-0.1875,-0.75,0.4375,merge_all_linear,0.0,donor_reference,,merge_all_linear,,16,0.1875,donor_reference,0.1875,0.8125,merge_arith_refusal,0.25,0.4375
0.0,False,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.875,-0.875,-1.0,0.125,merge_arith_polite,0.0,donor_reference,,merge_arith_polite,,16,0.875,donor_reference,0.875,0.125,merge_arith_refusal,0.0,0.125
0.0,False,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.8125,-0.8125,-1.0,0.1875,base,0.0,donor_reference,,base,,16,0.8125,donor_reference,0.8125,0.1875,merge_arith_refusal,0.0,0.1875
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,20,merge_arith_refusal__merge_all_linear__20:attn,attn,16,0.0,20:attn,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,20,merge_arith_refusal__merge_all_linear__20:mlp,mlp,16,0.0,20:mlp,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,20,merge_arith_refusal__merge_all_linear__20:block,block,16,0.0,20:block,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,25,merge_arith_refusal__merge_all_linear__25:attn,attn,16,0.0,25:attn,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,25,merge_arith_refusal__merge_all_linear__25:mlp,mlp,16,0.0,25:mlp,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,25,merge_arith_refusal__merge_all_linear__25:block,block,16,0.0,25:block,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,29,merge_arith_refusal__merge_all_linear__29:attn,attn,16,0.0,29:attn,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,29,merge_arith_refusal__merge_all_linear__29:mlp,mlp,16,0.0,29:mlp,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,29,merge_arith_refusal__merge_all_linear__29:block,block,16,0.0,29:block,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,20+25+29,merge_arith_refusal__merge_all_linear__20+25+29:attn,attn,16,0.0,20+25+29:attn,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,20+25+29,merge_arith_refusal__merge_all_linear__20+25+29:mlp,mlp,16,0.0,20+25+29:mlp,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_all_linear,0.0,patch,20+25+29,merge_arith_refusal__merge_all_linear__20+25+29:block,block,16,0.0,20+25+29:block,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,patch,20,merge_arith_refusal__merge_arith_polite__20:attn,attn,16,0.0,20:attn,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,patch,20,merge_arith_refusal__merge_arith_polite__20:mlp,mlp,16,0.0,20:mlp,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,patch,20,merge_arith_refusal__merge_arith_polite__20:block,block,16,0.0,20:block,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,patch,25,merge_arith_refusal__merge_arith_polite__25:attn,attn,16,0.0,25:attn,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,patch,25,merge_arith_refusal__merge_arith_polite__25:mlp,mlp,16,0.0,25:mlp,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,patch,25,merge_arith_refusal__merge_arith_polite__25:block,block,16,0.0,25:block,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,patch,29,merge_arith_refusal__merge_arith_polite__29:attn,attn,16,0.0,29:attn,0.0,1.0,merge_arith_refusal,1.0,0.0
0.0625,True,0.9375,0.9375,0.0,0.0625,-0.0625,-0.0625,0.0,0.0625,-0.0625,-0.125,0.0,merge_arith_polite,0.0,patch,29,merge_arith_refusal__merge_arith_polite__29:mlp,mlp,16,0.0625,29:mlp,0.0625,0.9375,merge_arith_refusal,0.875,0.0
0.0625,True,0.9375,0.9375,0.0,0.0625,-0.0625,-0.0625,0.0,0.0625,-0.0625,-0.125,0.0,merge_arith_polite,0.0,patch,29,merge_arith_refusal__merge_arith_polite__29:block,block,16,0.0625,29:block,0.0625,0.9375,merge_arith_refusal,0.875,0.0
